"","F-Value","Pr(>F)","Not-exposed_Radiotherapy-Exposed_Radiotherapy","diff Not-exposed_Radiotherapy-Exposed_Radiotherapy","NETcolors"
"C11orf35|256329",1.13589356435699,0.287125380717115,0.287125380701405,-0.124292399260114,"green"
"C11orf41|25758",6.34739441481448,0.0121202764914,0.0121202764656758,0.578012066313377,"yellow"
"C11orf42|160298",0.00271179208107493,0.958493446102364,0.958493446101534,0.0146980796728937,"grey"
"C11orf45|219833",0.752822161139888,0.386072672066407,0.386072672053273,-0.142719174145127,"black"
"C11orf46|120534",0.00528625603122131,0.94207368553301,0.94207368553183,0.0025828006314601,"turquoise"
"C11orf48|79081",0.0142884437185995,0.904908434288368,0.904908434286449,0.00964527777404633,"blue"
"C11orf49|79096",2.39522939926189,0.122448437499337,0.122448437478513,0.0845820678879239,"blue"
"C11orf51|25906",0.457324978699917,0.499243789825477,0.499243789815022,0.0461361642815046,"blue"
"C11orf52|91894",6.71804120855513,0.00987221126255505,0.00987221123667859,0.184187419566793,"blue"
"C11orf53|341032",0.246906670331246,0.619518589721187,0.619518589713374,-0.136308317035601,"green"
"C11orf54|28970",3.64200570253928,0.0570108775377426,0.0570108775143051,0.12541400444224,"grey"
"C11orf57|55216",0.0003368169087713,0.985366180275505,0.985366180275203,0.000766244679974548,"grey"
"C11orf58|10944",0.508421342596441,0.476213441537956,0.476213441526975,0.0204565631169391,"grey"
"C11orf59|55004",0.653317002910424,0.419380389491669,0.419380389479353,-0.0386987367926501,"blue"
"C11orf61|79684",4.54464726852736,0.0335934125350576,0.0335934125105762,-0.177067521550198,"green"
"C11orf63|79864",0.740334424712658,0.390037751500767,0.39003775148773,0.123780636162888,"grey"
"C11orf65|160140",0.0110321692620158,0.91639815945408,0.916398159452405,0.0148699686533309,"grey"
"C11orf66|220004",0.105051670618505,0.74600871851579,0.746008718510657,-0.0426995196674795,"green"
"C11orf67|28971",0.465483929059892,0.495442938326487,0.495442938315951,-0.0524866828540542,"blue"
"C11orf68|83638",0.179977688854714,0.671606567842858,0.671606567836171,0.0195934095259656,"blue"
"C11orf70|85016",0.193054175632435,0.660609509383286,0.660609509376375,-0.082705826566559,"brown"
"C11orf71|54494",1.32352958860457,0.250604955362093,0.250604955345362,0.106963237607234,"grey"
"C11orf73|51501",2.82883199614336,0.0933185114289463,0.0933185114070327,-0.10748061675883,"pink"
"C11orf74|119710",0.743816584322056,0.388926268227483,0.388926268214419,0.0552317596100176,"pink"
"C11orf75|56935",0.0122181589790064,0.912036529592778,0.912036529591028,0.00788077709531443,"blue"
"C11orf80|79703",0.00756357276470044,0.930737172902801,0.930737172901412,-0.00677122952053466,"blue"
"C11orf82|220042",11.1358565377708,0.000921039680036671,0.000921039653521527,-0.396182019886619,"magenta"
"C11orf83|790955",4.58043424926234e-06,0.998293374665238,0.998293374665201,-0.000207118720837229,"blue"
"C11orf84|144097",3.38183500393164,0.066614450023941,0.066614450000925,-0.105228897919545,"blue"
"C11orf85|283129",4.48655062171714,0.034747903687991,0.0347479036635007,0.692810575746274,"grey"
"C11orf87|399947",13.2959302155916,0.000298889592713742,0.000298889566156646,1.24806984027195,"brown"
