"","c(1:nrow(cleanDat))","rownames(cleanDat)","net$colors","kMEmagenta","kMEturquoise","kMEblack","kMEred","kMEbrown","kMEyellow","kMEgreen","kMEblue","kMEpink","kMEtableSortVector"
"TSTD2|158427",16219,"TSTD2|158427","turquoise",0.0993954850729782,0.813799332050651,-0.0136774473722882,0.0565814488505559,-0.0527233306574456,-0.0771936475471632,-0.190902386471941,-0.72172151598438,-0.533789475884634,"M1 turquoise|0.8138"
"SETX|23064",13808,"SETX|23064","turquoise",-0.0534457127964727,0.813697179616318,0.217585996135716,0.253887954230238,0.201133583038704,0.163489031496551,-0.340468415682031,-0.833394044596544,-0.662634379661555,"M1 turquoise|0.8137"
"KIAA0240|23506",7985,"KIAA0240|23506","turquoise",0.0486454429333589,0.81361706706547,-0.102771692054206,-0.0207943259673864,0.0296019051030557,-0.0920684443037847,-0.325277394895855,-0.743138685265568,-0.512670823687976,"M1 turquoise|0.8136"
"SCYL2|55681",13616,"SCYL2|55681","turquoise",0.237531115434992,0.813075418694348,-0.0917480926055955,0.11166446310588,-0.0527413187644165,-0.0106674609673196,-0.455233529599,-0.759691511322246,-0.545415318191876,"M1 turquoise|0.8131"
"PUS7L|83448",12498,"PUS7L|83448","turquoise",0.331871737590244,0.81295220535664,-0.248506743712597,-0.0524208003370837,-0.256805683100552,-0.227296716983396,-0.408189018765322,-0.685212625524821,-0.318425866149968,"M1 turquoise|0.813"
"C5orf41|153222",2294,"C5orf41|153222","turquoise",-0.0281227314148445,0.812762814834632,0.17532619581838,0.252984961928052,0.285870551578026,0.209927273350621,-0.386241894931644,-0.872048021835057,-0.607634086284323,"M1 turquoise|0.8128"
"UBE3A|7337",16431,"UBE3A|7337","turquoise",0.235591315976832,0.812192832046523,-0.250525403581898,-0.0946320707121816,-0.214149220147561,-0.220622019423114,-0.458690262359928,-0.717431087757175,-0.364829260238427,"M1 turquoise|0.8122"
"MFAP3|4238",9570,"MFAP3|4238","turquoise",0.191672822147269,0.811776319228954,-0.0546100768868318,0.0997246588972518,-0.00665766570671592,0.0120810274809322,-0.559552418357177,-0.76571926054603,-0.484662105908909,"M1 turquoise|0.8118"
"RASA1|5921",12724,"RASA1|5921","turquoise",0.0898479982477425,0.811771112747891,0.0784962617244149,0.123907174494196,0.0931739828954712,0.0217717628513284,-0.274179401282276,-0.803146447571479,-0.441466417406458,"M1 turquoise|0.8118"
"UHRF1BP1|54887",16508,"UHRF1BP1|54887","turquoise",0.32015166699279,0.811549208325312,-0.280303586711493,-0.0700823537291317,-0.252268426418856,-0.214186273568608,-0.414059258786602,-0.690585618628255,-0.421780878461739,"M1 turquoise|0.8115"
"VPS13C|54832",16723,"VPS13C|54832","turquoise",-0.0324480621651962,0.811232735626187,0.170974018396662,0.295412546575594,0.214845412456168,0.178059302582081,-0.430649686060524,-0.860353920236951,-0.638642252233581,"M1 turquoise|0.8112"
"SLC25A40|55972",14157,"SLC25A40|55972","turquoise",0.223050430802393,0.811143930541073,-0.234642403974378,-0.0240808183992085,-0.132321192137979,-0.165463681142233,-0.428637607660016,-0.723237973808729,-0.429167727375461,"M1 turquoise|0.8111"
"ERCC6|2074",5105,"ERCC6|2074","turquoise",0.102401463342535,0.810681057830447,-0.0356442609339537,-0.0635059962678665,-0.0975408864126041,-0.19285011290488,-0.275065634988525,-0.703735573300029,-0.409993884325781,"M1 turquoise|0.8107"
"CSNK1G1|53944",3892,"CSNK1G1|53944","turquoise",0.192573658531392,0.810642414061191,4.93182799172764e-05,0.0684681014602041,-0.0811926146091316,-0.0925702022049292,-0.350085768764462,-0.739696266895044,-0.458564900164369,"M1 turquoise|0.8106"
"KCTD20|222658",7922,"KCTD20|222658","turquoise",0.206113609631195,0.810381941882883,-0.0567026493536649,0.158378548069921,0.0372268756535662,0.113686127361767,-0.391443088726624,-0.781264490212599,-0.465554866680246,"M1 turquoise|0.8104"
"NSD1|64324",10735,"NSD1|64324","turquoise",0.266281599085519,0.810264117116409,-0.0276533713909307,0.0435025451028493,-0.0625141072767809,-0.0391702771647239,-0.222968712170512,-0.747503806807664,-0.431292395963307,"M1 turquoise|0.8103"
"DENND1B|163486",4309,"DENND1B|163486","turquoise",0.0977179695785306,0.809925085416761,0.0307288123106951,0.167083812922198,-0.00104031837518406,0.0243744441517312,-0.332307322726374,-0.771051300182227,-0.570601746653269,"M1 turquoise|0.8099"
"ZBTB26|57684",17060,"ZBTB26|57684","turquoise",0.14355681794612,0.809871190385102,0.0485572011107512,0.107218971610435,0.0532674262403363,0.0272875517994385,-0.126019812752112,-0.765996783625825,-0.373248127307643,"M1 turquoise|0.8099"
"HEATR5B|54497",6900,"HEATR5B|54497","turquoise",0.150748323332393,0.808823537146959,-0.233272368874485,-0.122860395376008,-0.174529562565023,-0.25035977029058,-0.295935383389056,-0.68473182261786,-0.425641118914097,"M1 turquoise|0.8088"
"XPO4|64328",16975,"XPO4|64328","turquoise",0.0903375938308706,0.808627243002339,0.0275740294384567,0.0673588319803285,0.0794269302647404,-0.00473771829640067,-0.335218536593257,-0.803637870413573,-0.501917135094362,"M1 turquoise|0.8086"
"ETV3|2117",5166,"ETV3|2117","turquoise",-0.0437690501913032,0.808228755768158,0.202911481905431,0.189612047531389,0.200177855507133,0.122666419325415,-0.290199111138341,-0.821624771136201,-0.658903591059406,"M1 turquoise|0.8082"
"DDX46|9879",4280,"DDX46|9879","turquoise",0.191145357891032,0.808014596388108,-0.0285160833566614,0.128703794301835,-0.0386324968112415,-0.0571101646228123,-0.258172374667364,-0.760788047546352,-0.40805474243535,"M1 turquoise|0.808"
"KDM3B|51780",7942,"KDM3B|51780","turquoise",0.0520539621721481,0.807942503957097,0.0725718162744435,0.0902283453084258,0.120239427620223,0.0212094249445187,-0.311822975033265,-0.767718301403911,-0.51988929802445,"M1 turquoise|0.8079"
"SPTY2D1|144108",14757,"SPTY2D1|144108","turquoise",0.168498638386979,0.807941687780869,-0.229469361756438,-0.0789992880931907,-0.212320621128097,-0.232341490043913,-0.523928151440167,-0.708303337590659,-0.470162339563606,"M1 turquoise|0.8079"
"KIF2A|3796",8124,"KIF2A|3796","turquoise",0.121792253638123,0.807496244137434,0.146795144969996,0.299267066492972,0.166980511342278,0.153723121642943,-0.388052851660839,-0.829960421662617,-0.540759749487527,"M1 turquoise|0.8075"
"PIK3CA|5290",11621,"PIK3CA|5290","turquoise",0.0547831897693642,0.807378857510716,0.110256672764294,0.33212107929047,0.237444208512423,0.275023285474788,-0.452584069363147,-0.856215169100264,-0.643640375060204,"M1 turquoise|0.8074"
"RBM27|54439",12792,"RBM27|54439","turquoise",0.169305557426865,0.806543345301308,-0.138949969924823,0.0233313277827833,-0.0854919506541443,-0.0808788771757171,-0.534587648478202,-0.752171088741326,-0.39340571276428,"M1 turquoise|0.8065"
"ROCK1|6093",13166,"ROCK1|6093","turquoise",0.0618410360262266,0.806176088455744,0.0798490199729355,0.187741539051013,0.190046925304206,0.167783568085872,-0.360323287786995,-0.808757114960348,-0.557697693407442,"M1 turquoise|0.8062"
"LCOR|84458",8393,"LCOR|84458","turquoise",0.0245459998536931,0.80553898103888,-0.101004098222163,0.0506625110779264,-0.0178176650279941,-0.0892135051693924,-0.358804131925233,-0.769873975210076,-0.565636537508283,"M1 turquoise|0.8055"
"KIDINS220|57498",8098,"KIDINS220|57498","turquoise",0.0483869477963388,0.805286197046037,-0.00183352385231945,0.085126151755533,0.089967802470161,0.0577695844938454,-0.306437381233503,-0.792029791769362,-0.514168112571294,"M1 turquoise|0.8053"
"KBTBD7|84078",7817,"KBTBD7|84078","turquoise",-0.025433423615494,0.805147957000935,-0.0108102671114773,-0.0657853162859862,0.0447127538289579,-0.144967964326588,-0.43340681654525,-0.7253568508032,-0.531965275816335,"M1 turquoise|0.8051"
"MDN1|23195",9469,"MDN1|23195","turquoise",-0.0427707092052556,0.805084756231078,0.103882170429567,0.0833822044631039,0.134982294855469,-0.00856017748045588,-0.27527547152969,-0.784226353129726,-0.505555445768865,"M1 turquoise|0.8051"
"CTNND1|1500",3949,"CTNND1|1500","turquoise",0.0702077794637393,0.804855659241642,-0.0188668863597224,-0.0333376375471876,-0.0816324562462316,-0.163823041270414,-0.370573556774399,-0.736451875092776,-0.550450957326783,"M1 turquoise|0.8049"
"RGPD3|653489",12942,"RGPD3|653489","turquoise",-0.00916663554753441,0.804421865636656,0.0413996089289269,0.0396282443500784,0.0317172706243763,-0.022817073568881,-0.202114874204799,-0.754842826538039,-0.503521970456279,"M1 turquoise|0.8044"
"HEATR5A|25938",6899,"HEATR5A|25938","turquoise",0.244923347467282,0.803801268523283,-0.147875012898806,0.0800101604396849,-0.110367417195869,-0.0341056147792859,-0.463980553751068,-0.715811749519338,-0.496281255814039,"M1 turquoise|0.8038"
"KDM6A|7403",7952,"KDM6A|7403","turquoise",0.289724022071072,0.803768826031454,-0.10269379499168,0.045803382231092,-0.185372762461039,-0.113429295194114,-0.236627843435967,-0.687257265273837,-0.439217747798508,"M1 turquoise|0.8038"
"RBM41|55285",12799,"RBM41|55285","turquoise",0.250013005731333,0.803608279312585,-0.0898820679653961,0.0857337715107226,-0.0642368319412832,-0.0142797511941856,-0.189997700737628,-0.713361091721689,-0.412841565068139,"M1 turquoise|0.8036"
"SYNRG|11276",15080,"SYNRG|11276","turquoise",0.0721803493880974,0.803516063798863,-0.123918286640273,-0.0375276045095802,-0.104347426100947,-0.201535502857284,-0.457236787590459,-0.72269864442467,-0.563147378813239,"M1 turquoise|0.8035"
"ZNF430|80264",17435,"ZNF430|80264","turquoise",0.0559556426914892,0.803029686728371,0.054873896832381,0.0909325692431734,0.0967784361173166,-0.0427603834250906,-0.293595092024506,-0.756855478607593,-0.519956503680992,"M1 turquoise|0.803"
"ZXDA|7789",17787,"ZXDA|7789","turquoise",-0.0477224080167846,0.802679261836459,0.0999086971577827,0.135623851324117,0.138409160669047,0.0231973432469086,-0.333042997796071,-0.765172983164464,-0.599016718644966,"M1 turquoise|0.8027"
"ZNF573|126231",17541,"ZNF573|126231","turquoise",0.0962431365488229,0.80234167844418,-0.055539546220528,0.0775284722964342,-0.0268038042055699,-0.0563396035811325,-0.280208232543013,-0.733704667034925,-0.461000224358517,"M1 turquoise|0.8023"
"ZNF41|7592",17426,"ZNF41|7592","turquoise",0.21144225960176,0.802170089923326,-0.0902549411882669,0.124355245725018,-0.0459465853674247,-0.0579253785142794,-0.292404093085186,-0.720191877327695,-0.487238024393075,"M1 turquoise|0.8022"
"SMCR8|140775",14439,"SMCR8|140775","turquoise",0.127829076329657,0.801937348583515,-0.055177643683626,0.052447466243844,-0.0731027213351884,-0.106633284337877,-0.259800593020706,-0.734053703211229,-0.480952854834001,"M1 turquoise|0.8019"
"ZBTB41|360023",17069,"ZBTB41|360023","turquoise",0.303918263599196,0.801631796406329,-0.190675465263306,0.00898776920323099,-0.133871819880648,-0.105161559912191,-0.460209475453697,-0.711142433101901,-0.326733915489276,"M1 turquoise|0.8016"
"PDPK1|5170",11398,"PDPK1|5170","turquoise",0.238111219056773,0.801468597877798,-0.169170918769838,-0.0454921341015526,-0.149437293339404,-0.148907641476565,-0.27955277992225,-0.711888384851894,-0.502821482209495,"M1 turquoise|0.8015"
"DENND4A|10260",4315,"DENND4A|10260","turquoise",0.00379535683768545,0.800845682363362,-0.0150675971957392,0.121563968888287,0.0386619205264006,-0.00789966144331486,-0.434100335729124,-0.804298624672727,-0.48826696203928,"M1 turquoise|0.8008"
"ZMYM1|79830",17225,"ZMYM1|79830","turquoise",0.173826108802321,0.800322588591697,0.118918656330735,0.208623256173143,0.0974066567062905,0.0601348681274385,-0.14468790322494,-0.791329339979421,-0.465706326034742,"M1 turquoise|0.8003"
"CLCN3|1182",3439,"CLCN3|1182","turquoise",0.16779224906595,0.799578894929258,-0.213977416113298,-0.0941620448912693,-0.185369102389814,-0.228257995943549,-0.505634634079493,-0.675414766559554,-0.480475597727838,"M1 turquoise|0.7996"
